Rule,Severity,Title,File,Line,Category,Affected Endpoint,Auto-Fixed
D1-002,MEDIUM,Long method — handleLicensePlateData() is 47 lines,CartellServiceImpl.java,518,D1,,NO
D1-003,LOW,Too many params — processIfVinDataFoundInDatabase() has 7 parameters,CartellServiceImpl.java,643,D1,,NO
D1-003,LOW,Too many params — fetchVinData() has 7 parameters,CartellServiceImpl.java,674,D1,,NO
D1-003,LOW,Too many params — handleCartellWebServiceResponse() has 7 parameters,CartellServiceImpl.java,813,D1,,NO
D1-001,MEDIUM,God class — 28 methods in CorvetServiceImpl,CorvetServiceImpl.java,0,D1,,NO
D1-002,MEDIUM,Long method — getCorvetResponse() is 42 lines,CorvetServiceImpl.java,119,D1,,NO
D1-002,MEDIUM,Long method — callCorvetForVinDetails() is 56 lines,CorvetServiceImpl.java,177,D1,,NO
D1-003,LOW,Too many params — callCorvetForVinDetails() has 6 parameters,CorvetServiceImpl.java,177,D1,,NO
D1-002,MEDIUM,Long method — callToCovert() is 65 lines,CorvetServiceImpl.java,266,D1,,NO
D1-002,MEDIUM,Long method — setHttpPostEntityForCorvet() is 55 lines,CorvetServiceImpl.java,340,D1,,NO
D1-002,MEDIUM,Long method — mapPcdCorvetResponse() is 67 lines,CorvetServiceImpl.java,408,D1,,NO
D1-002,MEDIUM,Long method — setResponseWhenDetailsFalse() is 36 lines,CorvetServiceImpl.java,484,D1,,NO
D1-002,MEDIUM,Long method — setResponseWhenDetailsTrue() is 98 lines,CorvetServiceImpl.java,529,D1,,NO
D1-002,MEDIUM,Long method — setDocToDisplayValue() is 75 lines,CorvetServiceImpl.java,665,D1,,NO
D1-002,MEDIUM,Long method — calculateDocToDisplay() is 33 lines,CorvetServiceImpl.java,751,D1,,NO
D1-002,MEDIUM,Long method — getCorvetResponseFromCinCorvet() is 49 lines,CorvetServiceImpl.java,857,D1,,NO
D1-002,MEDIUM,Long method — callCinCorvetForVinDetails() is 58 lines,CorvetServiceImpl.java,922,D1,,NO
D1-003,LOW,Too many params — callCinCorvetForVinDetails() has 6 parameters,CorvetServiceImpl.java,922,D1,,NO
D1-002,MEDIUM,Long method — setHttpPostEntityForCinCorvet() is 57 lines,CorvetServiceImpl.java,1013,D1,,NO
D1-002,MEDIUM,Long method — mapPcdCinCorvetResponse() is 114 lines,CorvetServiceImpl.java,1078,D1,,NO
D1-002,MEDIUM,Long method — setResponseWhenCinDetailsTrue() is 99 lines,CorvetServiceImpl.java,1302,D1,,NO
D1-002,MEDIUM,Long method — callCorvetForVinDetails() is 41 lines,CorvetServiceImpl.java,1492,D1,,NO
D7-001,LOW,Deprecated API — Date used in CorvetServiceImpl,CorvetServiceImpl.java,643,D7,,NO
D7-001,LOW,Deprecated API — Date used in CorvetServiceImpl,CorvetServiceImpl.java,676,D7,,NO
D7-001,LOW,Deprecated API — Date used in CorvetServiceImpl,CorvetServiceImpl.java,677,D7,,NO
D1-001,MEDIUM,God class — 25 methods in ElectronicServiceAssistantServiceImpl,ElectronicServiceAssistantServiceImpl.java,0,D1,,NO
D1-002,MEDIUM,Long method — getVinResponseFromEsa() is 40 lines,ElectronicServiceAssistantServiceImpl.java,139,D1,,NO
D1-002,MEDIUM,Long method — fetchVehicleDescriptionForNonDaig() is 35 lines,ElectronicServiceAssistantServiceImpl.java,230,D1,,NO
D1-002,MEDIUM,Long method — getVinDetailsFromESA() is 38 lines,ElectronicServiceAssistantServiceImpl.java,307,D1,,NO
D1-002,MEDIUM,Long method — constructEsaVinResponse() is 33 lines,ElectronicServiceAssistantServiceImpl.java,436,D1,,NO
D1-002,MEDIUM,Long method — getLicensePlateDataForVin() is 38 lines,ElectronicServiceAssistantServiceImpl.java,590,D1,,NO
D1-002,MEDIUM,Long method — mapPcdResponse() is 109 lines,ElectronicServiceAssistantServiceImpl.java,656,D1,,NO
D1-002,MEDIUM,Long method — handleWarrantyResponse() is 121 lines,ElectronicServiceAssistantServiceImpl.java,789,D1,,NO
