Rule,Severity,Title,File,Line,Category,Affected Endpoint,Auto-Fixed
D1-002,MEDIUM,Long method — transformIntoJsonResponse() is 37 lines,VehicleInformationServiceImpl.java,181,D1,,NO
D1-002,MEDIUM,Long method — findDimboVin() is 39 lines,DimboSubcriptionJpaRepository.java,108,D1,,NO
D1-002,MEDIUM,Long method — findContractbyContractNumberAndVin() is 41 lines,DimboSubcriptionJpaRepository.java,179,D1,,NO
D1-002,MEDIUM,Long method — findContractByVin() is 37 lines,DimboSubcriptionJpaRepository.java,228,D1,,NO
D1-002,MEDIUM,Long method — findContractByVinCustIdAndVinAndContractNumber() is 45 lines,DimboSubcriptionJpaRepository.java,273,D1,,NO
D1-002,MEDIUM,Long method — findContractByContractNumber() is 37 lines,DimboSubcriptionJpaRepository.java,325,D1,,NO
D1-002,MEDIUM,Long method — updateSubscription() is 77 lines,DimboSubcriptionResource.java,128,D1,,NO
D1-002,MEDIUM,Long method — addSubscription() is 56 lines,DimboSubcriptionResource.java,214,D1,,NO
D1-002,MEDIUM,Long method — validateSubscriptionParameters() is 71 lines,DimboSubcriptionResource.java,364,D1,,NO
D1-002,MEDIUM,Long method — addDummySubscription() is 49 lines,DimboSubcriptionResource.java,444,D1,,NO
D11-001,CRITICAL,Hardcoded credential — TOKEN in DimboSubcriptionResource,DimboSubcriptionResource.java,83,D11,,YES
D1-001,MEDIUM,God class — 62 methods in ApplicationConfig,ApplicationConfig.java,0,D1,,NO
D1-001,MEDIUM,God class — 56 methods in TokenRepresentation,TokenRepresentation.java,0,D1,,NO
D1-003,LOW,Too many params — callCustService() has 7 parameters,CustomerAtService.java,23,D1,,NO
D1-002,MEDIUM,Long method — transformTiIntoJsonResponse() is 41 lines,AuthentiationServiceImpl.java,173,D1,,NO
D1-002,MEDIUM,Long method — callCustService() is 45 lines,CustomerAtServiceImpl.java,49,D1,,NO
D1-003,LOW,Too many params — callCustService() has 7 parameters,CustomerAtServiceImpl.java,49,D1,,NO
D1-003,LOW,Too many params — mapCustAtResponse() has 6 parameters,CustomerAtServiceImpl.java,103,D1,,NO
D1-002,MEDIUM,Long method — validateParamsWithCustAt() is 32 lines,CustomerAtServiceImpl.java,190,D1,,NO
D1-002,MEDIUM,Long method — getPhoneFromCustAt() is 31 lines,CustomerAtServiceImpl.java,351,D1,,NO
D8-001,HIGH,Potential resource leak — Connection in callCustService(),CustomerAtServiceImpl.java,49,D8,,YES
D1-001,MEDIUM,God class — 26 methods in DimboServiceImpl,DimboServiceImpl.java,0,D1,,NO
D1-002,MEDIUM,Long method — getBookletData() is 68 lines,DimboServiceImpl.java,148,D1,,NO
D1-002,MEDIUM,Long method — getBookletDataServices() is 43 lines,DimboServiceImpl.java,223,D1,,NO
D1-002,MEDIUM,Long method — getBookletDataServicesUsingServiceId() is 69 lines,DimboServiceImpl.java,273,D1,,NO
D1-002,MEDIUM,Long method — getAllDimboServiceDataUsingCustId() is 76 lines,DimboServiceImpl.java,395,D1,,NO
D1-002,MEDIUM,Long method — mapServicesResponse() is 34 lines,DimboServiceImpl.java,479,D1,,NO
D1-002,MEDIUM,Long method — mapServicesResponseforCustId() is 38 lines,DimboServiceImpl.java,546,D1,,NO
D1-002,MEDIUM,Long method — addServiceHistory() is 35 lines,DimboServiceImpl.java,623,D1,,NO
D1-002,MEDIUM,Long method — getServicesfromJsonData() is 31 lines,DimboServiceImpl.java,667,D1,,NO
D1-002,MEDIUM,Long method — setAntiPerforation() is 47 lines,DimboServiceImpl.java,707,D1,,NO
D1-002,MEDIUM,Long method — setOperations() is 47 lines,DimboServiceImpl.java,763,D1,,NO
D1-002,MEDIUM,Long method — repairerValidation() is 72 lines,DimboServiceImpl.java,839,D1,,NO
D1-002,MEDIUM,Long method — addServiceHistory() is 82 lines,DimboServiceImpl.java,920,D1,,NO
D1-002,MEDIUM,Long method — updateServiceHistory() is 197 lines,DimboServiceImpl.java,1068,D1,,NO
D1-002,MEDIUM,Long method — getServicehistoryMileagestatus() is 88 lines,DimboServiceImpl.java,1282,D1,,NO
D7-001,LOW,Deprecated API — Date used in DimboServiceImpl,DimboServiceImpl.java,515,D7,,NO
D7-001,LOW,Deprecated API — Date used in DimboServiceImpl,DimboServiceImpl.java,537,D7,,NO
D7-001,LOW,Deprecated API — Date used in DimboServiceImpl,DimboServiceImpl.java,926,D7,,NO
D1-002,MEDIUM,Long method — getPublicKey() is 36 lines,JwkPublicKeyProvider.java,64,D1,,NO
D1-002,MEDIUM,Long method — callToGigya() is 40 lines,JwkPublicKeyProvider.java,125,D1,,NO
D11-001,CRITICAL,Hardcoded credential — POST_FIELD_API_KEY in JwkPublicKeyProvider,JwkPublicKeyProvider.java,46,D11,,YES
D1-002,MEDIUM,Long method — getMaintenancePlan() is 85 lines,MaintenancePlanImpl.java,98,D1,,NO
D1-002,MEDIUM,Long method — calculatePlanningStatus() is 323 lines,MaintenancePlanImpl.java,235,D1,,NO
D1-002,MEDIUM,Long method — setmaintenanceuiRest() is 50 lines,MaintenancePlanImpl.java,598,D1,,NO
D7-001,LOW,Deprecated API — Date used in MaintenancePlanImpl,MaintenancePlanImpl.java,287,D7,,NO
D7-001,LOW,Deprecated API — Date used in MaintenancePlanImpl,MaintenancePlanImpl.java,424,D7,,NO
D7-001,LOW,Deprecated API — Date used in MaintenancePlanImpl,MaintenancePlanImpl.java,560,D7,,NO
D7-001,LOW,Deprecated API — Date used in MaintenancePlanImpl,MaintenancePlanImpl.java,561,D7,,NO
D7-001,LOW,Deprecated API — Date used in MaintenancePlanImpl,MaintenancePlanImpl.java,566,D7,,NO
D7-001,LOW,Deprecated API — Date used in MaintenancePlanImpl,MaintenancePlanImpl.java,566,D7,,NO
D7-001,LOW,Deprecated API — Date used in MaintenancePlanImpl,MaintenancePlanImpl.java,579,D7,,NO
D1-002,MEDIUM,Long method — getV360Response() is 83 lines,V360ServiceImpl.java,90,D1,,NO
